BYSBOK001 Bokamoso Booysen
MTLLUK009 Luke Motloung
TSHTHA025 Thato Tshabalala
WLLIMI003 Iminathi Williams
MNSOMA013 Omaatla Mnisi
NGWOFE017 Ofentse Ngwenya
MNGENZ020 Enzokuhle Moeng
MDKAMO020 Amohelang Madikizela
DYNONT021 Onthatile Dyantyi
TSHLET016 Letlotlo Tshabalala
BLYRET017 Rethabile Baloyi
MLFOTH024 Othalive Molefe
JCBOMP020 Omphile Jacobs
SHBALU022 Alunamda Shabangu
BTHMIA007 Mia Buthelezi
BXXREL005 Relebohile Booi
MSXROR015 Rorisang Mosia
DNLAYA006 Ayabonga Daniels
CHKOFE015 Ofentse Chauke
MNGREA015 Reatlegile Moeng
SHBCAL017 Caleb Shabangu
